,id,user_id,event,ip_address,created_at,updated_at,is_fraud,fraud_likelihood,hour_of_day,day_of_week,final_decision
0,157,1,Unauthorized access attempt at: 2025-03-29 03:44 PM,127.0.0.1,2025-03-29 15:44:31,2025-03-29 15:44:31,1,100.0,15,5,Immediate action required
1,156,1,Unauthorized access attempt at: 2025-03-29 03:44 PM,127.0.0.1,2025-03-29 15:44:29,2025-03-29 15:44:29,1,97.71779642365148,15,5,Immediate action required
2,155,1,Unauthorized access attempt at: 2025-03-29 03:44 PM,127.0.0.1,2025-03-29 15:44:28,2025-03-29 15:44:28,1,99.11183764688275,15,5,Immediate action required
3,154,1,Unauthorized access attempt at: 2025-03-29 03:44 PM,127.0.0.1,2025-03-29 15:44:25,2025-03-29 15:44:25,1,98.25163549563685,15,5,Immediate action required
4,153,1,Unauthorized access attempt at: 2025-03-29 03:37 PM,127.0.0.1,2025-03-29 15:37:58,2025-03-29 15:37:58,1,97.08885341432716,15,5,Immediate action required
5,152,1,Unauthorized access attempt at: 2025-03-29 03:37 PM,127.0.0.1,2025-03-29 15:37:56,2025-03-29 15:37:56,1,100.0,15,5,Immediate action required
6,151,1,Unauthorized access attempt at: 2025-03-29 03:29 PM,127.0.0.1,2025-03-29 15:29:53,2025-03-29 15:29:53,1,100.0,15,5,Immediate action required
7,150,1,Unauthorized access attempt at: 2025-03-29 03:18 PM,127.0.0.1,2025-03-29 15:18:05,2025-03-29 15:18:05,1,100.0,15,5,Immediate action required
8,149,9,Tried to view Unowned File at 2025-03-29 03:01 PM,127.0.0.1,2025-03-29 15:01:38,2025-03-29 15:01:38,1,96.32320438143927,15,5,Immediate action required
9,148,9,Tried to view Unowned File at 2025-03-29 03:01 PM,127.0.0.1,2025-03-29 15:01:36,2025-03-29 15:01:36,1,100.0,15,5,Immediate action required
10,147,9,Tried to view Unowned File at 2025-03-29 03:00 PM,127.0.0.1,2025-03-29 15:00:55,2025-03-29 15:00:55,1,98.28237372649171,15,5,Immediate action required
11,146,9,Tried to view Unowned File at 2025-03-29 02:57 PM,127.0.0.1,2025-03-29 14:57:03,2025-03-29 14:57:03,1,100.0,14,5,Immediate action required
12,145,9,Logged in at: 2025-03-29 02:56 PM,127.0.0.1,2025-03-29 14:56:38,2025-03-29 14:56:38,0,0.0,14,5,No action
13,144,9,Tried to view Unowned File at 2025-03-29 08:23 AM,127.0.0.1,2025-03-29 08:23:38,2025-03-29 08:23:38,1,100.0,8,5,Immediate action required
14,143,9,Logged in at: 2025-03-29 08:23 AM,127.0.0.1,2025-03-29 08:23:22,2025-03-29 08:23:22,0,0.7427132806605394,8,5,No action
15,142,1,Logged in at: 2025-03-29 07:39 AM,127.0.0.1,2025-03-29 07:39:21,2025-03-29 07:39:21,0,2.7328131832149447,7,5,No action
16,141,1,Backup restored successfully at 2025-03-29 00:27:34,127.0.0.1,2025-03-29 00:27:34,2025-03-29 00:27:34,0,0.0,0,5,No action
17,140,1,Logged in at: 2025-03-28 09:59 PM,127.0.0.1,2025-03-28 21:59:22,2025-03-28 21:59:22,0,0.0,21,4,No action
18,139,4,Logged out at: 2025-03-28 09:14 PM,127.0.0.1,2025-03-28 21:14:43,2025-03-28 21:14:43,0,0.0,21,4,No action
19,138,4,Tried to view Unowned File at 2025-03-28 09:07 PM,127.0.0.1,2025-03-28 21:07:17,2025-03-28 21:07:17,1,100.0,21,4,Immediate action required
20,137,4,Tried to view Unowned File at 2025-03-28 09:07 PM,127.0.0.1,2025-03-28 21:07:12,2025-03-28 21:07:12,1,97.57809830969256,21,4,Immediate action required
21,136,4,Tried to view Unowned File at 2025-03-28 09:06 PM,127.0.0.1,2025-03-28 21:06:01,2025-03-28 21:06:01,1,100.0,21,4,Immediate action required
22,135,4,Logged in at: 2025-03-28 09:04 PM,127.0.0.1,2025-03-28 21:04:50,2025-03-28 21:04:50,0,0.8362112003319755,21,4,No action
23,134,5,Tried to view Unowned File at 2025-03-28 09:00 PM,127.0.0.1,2025-03-28 21:00:17,2025-03-28 21:00:17,1,100.0,21,4,Immediate action required
24,133,5,Tried to view Unassigned Task at  2025-03-28 08:51 PM,127.0.0.1,2025-03-28 20:51:37,2025-03-28 20:51:37,1,100.0,20,4,Immediate action required
25,132,5,Tried to view Unowned Document at 2025-03-28 08:44 PM,127.0.0.1,2025-03-28 20:44:59,2025-03-28 20:44:59,1,97.49950744348617,20,4,Immediate action required
26,131,5,Tried to view Unowned Document at 2025-03-28 08:44 PM,127.0.0.1,2025-03-28 20:44:41,2025-03-28 20:44:41,1,98.70787454035651,20,4,Immediate action required
27,130,5,Payment Updated with Payment Number:  in time of: 2025-03-28 08:42 PM,127.0.0.1,2025-03-28 20:42:42,2025-03-28 20:42:42,1,96.20983727414134,20,4,Immediate action required
28,129,5,Updated Document:  in time of: 2025-03-28 08:42 PM,127.0.0.1,2025-03-28 20:42:30,2025-03-28 20:42:30,1,100.0,20,4,Immediate action required
29,128,5,Updated Order Request: MDKSEKLMBZUIH6S37FKJ at 2025-03-28 08:42 PM,127.0.0.1,2025-03-28 20:42:12,2025-03-28 20:42:12,1,99.57039931143252,20,4,Immediate action required
30,127,5,Tried to view Unowned Order at 2025-03-28 08:40 PM,127.0.0.1,2025-03-28 20:40:25,2025-03-28 20:40:25,1,100.0,20,4,Immediate action required
31,126,5,Payment Submitted with Payment Number: 9R9HN0ZG7AIZU4KIXGQS at 2025-03-28 08:39 PM,127.0.0.1,2025-03-28 20:39:28,2025-03-28 20:39:28,1,96.55079803062448,20,4,Immediate action required
32,125,5,Document Submitted with Document Number: JV9HTPJPONMOJIECRB38 at 2025-03-28 08:39 PM,127.0.0.1,2025-03-28 20:39:16,2025-03-28 20:39:16,1,98.39161757446604,20,4,Immediate action required
33,124,5,Order Submitted with Order Number: MDKSEKLMBZUIH6S37FKJ at 2025-03-28 08:39 PM,127.0.0.1,2025-03-28 20:39:06,2025-03-28 20:39:06,1,100.0,20,4,Immediate action required
34,123,5,Tried to view Unowned Order at 2025-03-28 08:36 PM,127.0.0.1,2025-03-28 20:36:36,2025-03-28 20:36:36,1,95.59496136811322,20,4,Immediate action required
35,122,5,Tried to view Unowned File at 2025-03-28 08:28 PM,127.0.0.1,2025-03-28 20:28:42,2025-03-28 20:28:42,1,100.0,20,4,Immediate action required
36,121,10,Logged out at: 2025-03-28 08:21 PM,127.0.0.1,2025-03-28 20:21:18,2025-03-28 20:21:18,0,0.0,20,4,No action
37,120,10,Registered and logged in at: 2025-03-28 08:21 PM,127.0.0.1,2025-03-28 20:21:13,2025-03-28 20:21:13,0,0.0,20,4,No action
38,119,9,Logged out at: 2025-03-28 08:20 PM,127.0.0.1,2025-03-28 20:20:50,2025-03-28 20:20:50,0,4.639030468364819,20,4,No action
39,118,9,Registered and logged in at: 2025-03-28 08:20 PM,127.0.0.1,2025-03-28 20:20:45,2025-03-28 20:20:45,0,4.6780773732675165,20,4,No action
